,index,year,month,expenses_per_capita,average_price_per_kg_or_l
15635,19980,1.0,10,0.047393364928909956,0.20581655480984343
15676,20031,1.0,10,0.08530805687203791,0.2214765100671141
15717,20082,1.0,10,0.09004739336492891,0.1521252796420582
15759,20133,1.0,10,0.08530805687203791,0.18344519015659955
15801,20184,1.0,10,0.1279620853080569,0.25727069351230425
15842,20286,1.0,11,0.004739336492890996,0.2818791946308725
15882,20337,1.0,11,0.023696682464454978,0.2706935123042506
15921,20388,1.0,11,0.0,0.0
15964,20439,1.0,11,0.009478672985781991,0.29306487695749445
16005,20490,1.0,11,0.0,0.11185682326621925
16047,20541,1.0,11,0.004739336492890996,0.33557046979865773
16089,20592,1.0,11,0.004739336492890996,0.2751677852348994
16130,20643,1.0,11,0.009478672985781991,0.4138702460850112
16172,20694,1.0,11,0.06161137440758294,0.1946308724832215
16213,20745,1.0,11,0.0,0.33780760626398215
16253,20796,1.0,11,0.018957345971563982,0.20805369127516782
16295,20847,1.0,11,0.014218009478672985,0.4093959731543625
16336,20898,1.0,11,0.0,0.0
16378,20949,1.0,11,0.004739336492890996,0.31767337807606266
16418,21000,1.0,11,0.023696682464454978,0.18344519015659955
16460,21051,1.0,11,0.014218009478672985,0.33557046979865773
16500,21102,1.0,11,0.07582938388625593,0.32214765100671144
16542,21204,1.0,12,0.009478672985781991,0.5257270693512305
16581,21255,1.0,12,0.018957345971563982,0.3109619686800895
16620,21306,1.0,12,0.0,0.14093959731543626
16663,21357,1.0,12,0.0,0.2863534675615213
16703,21408,1.0,12,0.004739336492890996,0.3691275167785235
16745,21459,1.0,12,0.004739336492890996,0.5503355704697988
16786,21510,1.0,12,0.004739336492890996,0.35123042505592844
16828,21561,1.0,12,0.014218009478672985,0.4138702460850112
16869,21612,1.0,12,0.0,0.0
16910,21663,1.0,12,0.0,0.18344519015659955
16953,21714,1.0,12,0.004739336492890996,0.37583892617449666
16993,21765,1.0,12,0.009478672985781991,0.3691275167785235
17036,21816,1.0,12,0.0,0.0
17112,21918,1.0,12,0.0,0.0
17152,21969,1.0,12,0.004739336492890996,0.33780760626398215
17193,22020,1.0,12,0.018957345971563982,0.28859060402684567
